Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
юр. лицо,списание средств,1225.03,наличный,Минск,Беларусбанк-WDRC-178,30-09-2016,14:06:11,неправильный ввод пин-кода,да,67.77
юр. лицо,получение средств,3849.51,наличный,Гродно,БелАгропромбанк-GQYT-381,08-09-2000,02:02:53,успешно,нет,0.0
физ. лицо,списание средств,237.2,наличный,Брест,МаксБанк-ADGI-142,16-11-2007,15:07:09,недостаточно средств,нет,0.0
физ. лицо,списание средств,2009.71,наличный,Гродно,МаксБанк-VKDD-243,22-11-2004,07:27:11,успешно,да,119.13
юр. лицо,списание средств,4103.62,наличный,Витебск,Беларусбанк-POJI-108,20-06-2019,18:21:37,успешно,да,210.82
физ. лицо,получение средств,4856.45,наличный,Брест,Приорбанк-XAIG-966,28-08-2003,22:39:16,успешно,нет,0.0
юр. лицо,получение средств,1740.31,безналичный,Гомель,Беларусбанк-JXHR-561,30-08-2000,06:35:14,успешно,нет,0.0
юр. лицо,получение средств,2059.28,безналичный,Брест,Приорбанк-OZKJ-038,14-08-2013,01:26:41,успешно,нет,0.0
физ. лицо,получение средств,2262.41,наличный,Минск,МаксБанк-VZKR-019,13-10-2023,20:54:57,успешно,нет,0.0
юр. лицо,списание средств,3158.95,безналичный,Минск,Белинвестбанк-LVEB-944,26-07-2010,12:17:10,недостаточно средств,нет,0.0
юр. лицо,списание средств,611.13,безналичный,Брест,Белинвестбанк-GFTK-744,28-11-2005,11:06:09,неправильный ввод пин-кода,да,16.73
физ. лицо,списание средств,4925.52,безналичный,Гродно,Белинвестбанк-QYOP-354,20-05-2002,21:25:59,успешно,нет,0.0
юр. лицо,списание средств,225.04,наличный,Могилев,Беларусбанк-NPUQ-840,29-05-2024,00:34:06,неправильный ввод пин-кода,да,3.24
физ. лицо,списание средств,3353.04,наличный,Гомель,Приорбанк-ITWR-031,26-12-2002,06:39:00,успешно,да,153.51
юр. лицо,списание средств,344.5,безналичный,Брест,Белинвестбанк-QSSA-396,04-04-2022,12:41:46,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,954.54,наличный,Могилев,Приорбанк-SMFM-069,29-11-2001,06:06:37,успешно,нет,0.0
юр. лицо,получение средств,1135.16,безналичный,Гродно,БелАгропромбанк-CWMF-167,24-05-2019,23:11:40,успешно,нет,0.0
юр. лицо,списание средств,4525.3,безналичный,Витебск,Приорбанк-MNXW-719,19-07-2015,00:58:35,неправильный ввод пин-кода,да,335.28
физ. лицо,получение средств,3263.56,наличный,Гомель,БелАгропромбанк-PDPK-099,08-05-2004,19:56:10,успешно,нет,0.0
юр. лицо,списание средств,1157.07,наличный,Минск,МаксБанк-MUWY-651,13-02-2017,11:25:36,успешно,да,86.17
физ. лицо,списание средств,324.86,наличный,Брест,Беларусбанк-OXEV-516,31-12-2003,19:36:40,неправильный ввод пин-кода,да,25.14
физ. лицо,списание средств,4814.71,безналичный,Минск,Белинвестбанк-CKWH-351,26-05-2020,08:06:06,недостаточно средств,нет,0.0
юр. лицо,списание средств,3663.76,наличный,Витебск,Беларусбанк-VPHQ-452,29-05-2018,02:29:45,недостаточно средств,нет,0.0
юр. лицо,получение средств,1665.64,наличный,Гомель,Белинвестбанк-HTAH-200,19-06-2015,07:37:17,успешно,нет,0.0
юр. лицо,списание средств,2219.63,безналичный,Минск,МаксБанк-BJNH-803,16-04-2017,14:57:58,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3738.25,наличный,Брест,Беларусбанк-KANI-740,10-04-2021,21:05:58,успешно,нет,0.0
физ. лицо,списание средств,4117.37,наличный,Витебск,Приорбанк-HEFI-564,06-01-2020,18:50:08,недостаточно средств,нет,0.0
юр. лицо,получение средств,4437.94,наличный,Минск,Белинвестбанк-ENFJ-645,16-01-2002,13:10:35,успешно,нет,0.0
физ. лицо,получение средств,139.53,безналичный,Минск,Белинвестбанк-OXTZ-359,28-09-2017,20:20:59,успешно,нет,0.0
юр. лицо,получение средств,1406.85,наличный,Гродно,МаксБанк-RKNV-417,08-12-2006,08:45:11,успешно,нет,0.0
физ. лицо,списание средств,4415.62,безналичный,Брест,Беларусбанк-YWDL-846,29-10-2012,13:45:14,неправильный ввод пин-кода,да,414.85
юр. лицо,списание средств,3312.65,безналичный,Гомель,БелАгропромбанк-XDGO-651,19-06-2014,13:52:57,неправильный ввод пин-кода,да,37.07
физ. лицо,получение средств,1020.24,безналичный,Минск,МаксБанк-BSWB-509,30-01-2013,22:41:53,успешно,нет,0.0
юр. лицо,списание средств,1972.98,безналичный,Минск,Беларусбанк-VBMB-208,16-06-2004,06:47:46,недостаточно средств,да,165.11
физ. лицо,получение средств,2335.26,безналичный,Брест,Белинвестбанк-MIJE-292,02-10-2008,10:57:05,успешно,нет,0.0
физ. лицо,списание средств,3114.83,безналичный,Гродно,Беларусбанк-ELOO-452,06-01-2015,06:51:18,неправильный ввод пин-кода,да,264.33
юр. лицо,списание средств,4771.21,безналичный,Витебск,Беларусбанк-AUKE-572,25-04-2003,12:04:22,недостаточно средств,да,128.9
физ. лицо,получение средств,4081.93,безналичный,Гомель,Беларусбанк-AQRS-928,22-02-2009,14:27:55,успешно,нет,0.0
физ. лицо,получение средств,3843.98,безналичный,Брест,Белинвестбанк-EVZK-711,07-09-2003,06:17:40,успешно,нет,0.0
юр. лицо,списание средств,3850.15,наличный,Гомель,БелАгропромбанк-XYRM-097,05-10-2024,01:10:39,неправильный ввод пин-кода,да,44.12
физ. лицо,списание средств,39.84,наличный,Минск,МаксБанк-YCJN-975,11-11-2020,12:56:08,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2617.63,наличный,Гомель,БелАгропромбанк-KWGF-180,13-02-2017,07:19:23,успешно,да,168.78
юр. лицо,списание средств,4610.11,безналичный,Гродно,Приорбанк-YRIK-161,24-05-2004,13:05:19,недостаточно средств,да,137.22
юр. лицо,получение средств,1512.69,безналичный,Витебск,БелАгропромбанк-VPWG-449,22-03-2001,17:40:05,успешно,нет,0.0
юр. лицо,получение средств,435.99,безналичный,Брест,Приорбанк-QRZD-105,26-06-2010,04:13:52,успешно,нет,0.0
юр. лицо,получение средств,505.36,безналичный,Гродно,Беларусбанк-MOJK-905,07-10-2011,23:59:02,успешно,нет,0.0
физ. лицо,получение средств,310.41,наличный,Витебск,БелАгропромбанк-IIPO-075,19-11-2008,12:39:58,успешно,нет,0.0
юр. лицо,списание средств,374.86,безналичный,Витебск,Приорбанк-ORLI-888,09-07-2010,06:50:02,неправильный ввод пин-кода,да,12.93
физ. лицо,списание средств,1348.68,безналичный,Минск,Приорбанк-TDIO-957,21-01-2003,17:59:16,успешно,да,92.45
юр. лицо,получение средств,3488.07,безналичный,Витебск,Белинвестбанк-VXWE-375,06-11-2003,03:15:18,успешно,нет,0.0
физ. лицо,списание средств,1005.15,безналичный,Минск,МаксБанк-GNPL-945,03-01-2021,10:47:28,успешно,нет,0.0
юр. лицо,получение средств,3417.98,наличный,Гродно,БелАгропромбанк-CKLU-008,25-07-2002,20:46:55,успешно,нет,0.0
юр. лицо,списание средств,3049.04,наличный,Гомель,БелАгропромбанк-JMQN-070,17-11-2022,13:21:46,недостаточно средств,да,181.44
юр. лицо,списание средств,4790.4,наличный,Гомель,Беларусбанк-NGMT-819,12-10-2022,22:13:12,успешно,нет,0.0
физ. лицо,получение средств,4083.27,безналичный,Витебск,Белинвестбанк-LUCD-346,08-05-2020,01:13:36,успешно,нет,0.0
юр. лицо,списание средств,1304.0,наличный,Минск,Беларусбанк-KNOZ-074,03-07-2020,19:33:58,неправильный ввод пин-кода,да,42.5
физ. лицо,списание средств,4725.61,безналичный,Гродно,БелАгропромбанк-KUXR-040,22-08-2014,14:56:54,неправильный ввод пин-кода,да,445.25
физ. лицо,получение средств,626.11,наличный,Гомель,Беларусбанк-RUZR-193,02-03-2019,11:46:26,успешно,нет,0.0
юр. лицо,списание средств,3421.42,наличный,Гомель,БелАгропромбанк-IAHJ-357,10-08-2024,15:02:02,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,4562.1,безналичный,Брест,Беларусбанк-GKRO-859,19-12-2006,15:25:44,успешно,нет,0.0
юр. лицо,списание средств,3820.51,безналичный,Могилев,Белинвестбанк-WJCL-500,07-02-2021,05:13:25,неправильный ввод пин-кода,да,102.39
физ. лицо,списание средств,4279.44,наличный,Могилев,БелАгропромбанк-DTVA-970,31-12-2020,17:27:33,неправильный ввод пин-кода,да,358.87
физ. лицо,получение средств,4577.36,безналичный,Минск,Приорбанк-WGAF-065,12-12-2015,22:34:15,успешно,нет,0.0
юр. лицо,получение средств,4021.03,наличный,Гродно,Приорбанк-AJTO-100,08-04-2016,11:56:29,успешно,нет,0.0
юр. лицо,списание средств,2716.73,наличный,Брест,Приорбанк-LGAO-012,09-07-2009,19:11:01,недостаточно средств,да,149.33
юр. лицо,получение средств,517.83,безналичный,Минск,Приорбанк-QYLD-160,07-08-2001,07:19:21,успешно,нет,0.0
физ. лицо,получение средств,4463.36,наличный,Гомель,МаксБанк-RNPK-312,23-07-2006,12:21:43,успешно,нет,0.0
юр. лицо,списание средств,2446.65,наличный,Гомель,МаксБанк-KQJQ-727,15-08-2001,19:43:43,недостаточно средств,да,168.85
физ. лицо,получение средств,280.25,безналичный,Гомель,БелАгропромбанк-RTBA-086,09-05-2000,06:25:52,успешно,нет,0.0
юр. лицо,получение средств,1850.71,наличный,Гродно,Белинвестбанк-UWRH-627,01-01-2005,15:13:36,успешно,нет,0.0
юр. лицо,списание средств,26.31,безналичный,Могилев,Беларусбанк-GTWK-168,26-12-2014,08:16:01,успешно,да,1.47
физ. лицо,списание средств,4859.9,безналичный,Витебск,Беларусбанк-DUXY-260,04-12-2008,12:49:08,недостаточно средств,нет,0.0
физ. лицо,списание средств,602.71,безналичный,Могилев,Беларусбанк-ARLG-682,17-04-2011,13:25:48,успешно,нет,0.0
физ. лицо,списание средств,1564.2,наличный,Витебск,Белинвестбанк-YEVW-301,21-07-2009,08:50:03,недостаточно средств,да,61.26
юр. лицо,списание средств,3867.1,безналичный,Брест,МаксБанк-LQVS-882,11-06-2003,23:11:22,недостаточно средств,да,96.8
юр. лицо,получение средств,3080.47,безналичный,Гомель,Беларусбанк-TUKF-833,22-02-2007,19:45:25,успешно,нет,0.0
юр. лицо,списание средств,2947.63,наличный,Минск,Беларусбанк-ORKZ-157,11-08-2003,17:55:35,успешно,нет,0.0
физ. лицо,получение средств,4545.8,наличный,Гомель,Беларусбанк-TNJQ-545,09-03-2003,17:10:25,успешно,нет,0.0
юр. лицо,получение средств,583.19,безналичный,Могилев,МаксБанк-ZFON-088,18-10-2015,18:12:53,успешно,нет,0.0
физ. лицо,получение средств,2363.48,безналичный,Гомель,БелАгропромбанк-GXTD-237,17-04-2013,12:33:31,успешно,нет,0.0
юр. лицо,получение средств,1040.91,безналичный,Брест,МаксБанк-TQYQ-693,10-05-2013,10:51:37,успешно,нет,0.0
юр. лицо,получение средств,1757.02,безналичный,Гродно,Белинвестбанк-QHWE-811,21-05-2023,14:19:29,успешно,нет,0.0
физ. лицо,получение средств,4965.68,безналичный,Гродно,Приорбанк-FIRV-411,21-06-2018,05:13:28,успешно,нет,0.0
физ. лицо,получение средств,2546.51,наличный,Гродно,Беларусбанк-ZFZI-884,27-07-2020,18:41:36,успешно,нет,0.0
юр. лицо,получение средств,4569.96,безналичный,Могилев,Белинвестбанк-MACY-127,15-07-2002,04:12:48,успешно,нет,0.0
юр. лицо,списание средств,2761.37,безналичный,Брест,Приорбанк-PWXP-780,31-03-2005,19:46:25,неправильный ввод пин-кода,да,83.92
юр. лицо,списание средств,687.12,наличный,Могилев,Белинвестбанк-LTRC-765,09-05-2016,01:21:02,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2083.35,безналичный,Витебск,БелАгропромбанк-UGYB-565,28-11-2017,19:47:36,успешно,нет,0.0
юр. лицо,списание средств,3759.26,безналичный,Минск,БелАгропромбанк-UHCV-521,07-02-2022,21:45:46,успешно,нет,0.0
юр. лицо,списание средств,2434.79,наличный,Гродно,Приорбанк-QQTX-172,15-02-2013,22:07:33,успешно,да,67.34
юр. лицо,получение средств,395.69,наличный,Минск,МаксБанк-CJWD-257,16-09-2014,09:53:06,успешно,нет,0.0
физ. лицо,получение средств,1285.2,безналичный,Витебск,Приорбанк-HIYW-784,22-01-2007,17:51:02,успешно,нет,0.0
юр. лицо,списание средств,2489.97,наличный,Витебск,Белинвестбанк-JOBT-010,03-05-2011,21:04:34,недостаточно средств,да,219.05
физ. лицо,списание средств,3412.74,наличный,Витебск,БелАгропромбанк-WMXO-965,11-07-2011,00:40:53,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2583.23,безналичный,Могилев,Приорбанк-DTBY-914,25-07-2005,01:15:33,недостаточно средств,да,172.6
юр. лицо,списание средств,2066.31,безналичный,Гродно,Белинвестбанк-ULLP-646,06-01-2005,04:11:16,неправильный ввод пин-кода,да,32.68
юр. лицо,списание средств,3418.47,наличный,Минск,Белинвестбанк-FWKY-044,11-05-2015,07:50:46,успешно,нет,0.0
юр. лицо,списание средств,2713.26,наличный,Брест,Белинвестбанк-CVUK-754,09-08-2010,06:22:56,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,3322.41,наличный,Гродно,Приорбанк-RCJF-888,11-01-2023,21:15:50,успешно,нет,0.0
юр. лицо,списание средств,12.62,наличный,Могилев,Приорбанк-VZPK-867,04-08-2002,09:03:18,неправильный ввод пин-кода,да,0.23
юр. лицо,получение средств,1000.81,наличный,Брест,Белинвестбанк-TKWK-287,06-07-2019,20:04:31,успешно,нет,0.0
физ. лицо,получение средств,2521.69,наличный,Гродно,Приорбанк-RWKS-112,30-07-2020,22:58:43,успешно,нет,0.0
юр. лицо,получение средств,4031.47,безналичный,Витебск,БелАгропромбанк-XRNG-447,03-04-2015,02:21:06,успешно,нет,0.0
юр. лицо,списание средств,3211.74,безналичный,Гомель,БелАгропромбанк-HLYB-644,24-11-2002,02:09:22,недостаточно средств,нет,0.0
юр. лицо,получение средств,2780.36,безналичный,Могилев,БелАгропромбанк-DMGL-125,08-09-2003,22:37:25,успешно,нет,0.0
юр. лицо,списание средств,2981.27,наличный,Минск,Белинвестбанк-GQQX-926,17-08-2024,14:48:13,неправильный ввод пин-кода,да,48.97
юр. лицо,получение средств,2130.94,безналичный,Минск,Приорбанк-CAEB-407,30-07-2022,04:04:08,успешно,нет,0.0
юр. лицо,получение средств,785.36,наличный,Минск,Беларусбанк-OIFF-961,17-04-2019,00:57:31,успешно,нет,0.0
физ. лицо,списание средств,3581.74,наличный,Гродно,Белинвестбанк-SVBW-696,25-12-2022,20:12:23,недостаточно средств,нет,0.0
юр. лицо,получение средств,4382.7,безналичный,Могилев,Беларусбанк-ERJX-104,16-03-2024,15:37:02,успешно,нет,0.0
юр. лицо,списание средств,2648.43,наличный,Могилев,МаксБанк-JNAI-816,02-05-2021,20:28:06,недостаточно средств,нет,0.0
физ. лицо,получение средств,2296.46,наличный,Могилев,Приорбанк-OVYZ-009,31-05-2007,04:21:31,успешно,нет,0.0
физ. лицо,получение средств,4065.49,безналичный,Витебск,Белинвестбанк-DVWN-781,11-04-2005,09:08:33,успешно,нет,0.0
физ. лицо,списание средств,1084.15,безналичный,Гомель,Беларусбанк-NXSB-302,16-06-2011,23:15:39,успешно,нет,0.0
физ. лицо,списание средств,3572.8,наличный,Минск,Приорбанк-VQCW-871,23-05-2000,12:45:43,неправильный ввод пин-кода,да,114.34
физ. лицо,получение средств,3205.86,безналичный,Брест,Приорбанк-ARRH-438,14-02-2017,05:27:59,успешно,нет,0.0
физ. лицо,получение средств,1293.89,безналичный,Гомель,Беларусбанк-ZUPB-292,22-01-2009,23:43:10,успешно,нет,0.0
физ. лицо,списание средств,3525.21,безналичный,Могилев,БелАгропромбанк-TXLR-536,22-12-2013,05:57:38,недостаточно средств,да,88.96
физ. лицо,списание средств,2962.95,наличный,Брест,БелАгропромбанк-GKUI-085,01-12-2018,04:21:22,недостаточно средств,да,178.77
юр. лицо,получение средств,4315.63,безналичный,Могилев,Белинвестбанк-SJSO-127,24-06-2003,05:06:44,успешно,нет,0.0
физ. лицо,списание средств,3450.49,наличный,Брест,БелАгропромбанк-XKLL-527,14-01-2010,00:25:06,успешно,да,142.57
юр. лицо,списание средств,1263.01,безналичный,Гомель,БелАгропромбанк-XHMC-373,14-11-2019,06:00:01,недостаточно средств,да,118.01
юр. лицо,списание средств,4092.31,безналичный,Минск,БелАгропромбанк-SEVG-002,29-01-2015,07:26:00,недостаточно средств,нет,0.0
физ. лицо,списание средств,4184.92,наличный,Гродно,Белинвестбанк-WTWB-500,14-01-2006,00:50:25,успешно,да,107.54
юр. лицо,получение средств,801.19,безналичный,Гомель,Беларусбанк-BLHA-695,05-01-2003,12:08:36,успешно,нет,0.0
юр. лицо,получение средств,3245.38,безналичный,Минск,МаксБанк-YGKA-649,12-12-2009,01:35:35,успешно,нет,0.0
юр. лицо,списание средств,2957.05,безналичный,Гомель,Приорбанк-NHBL-405,13-12-2000,09:05:01,неправильный ввод пин-кода,да,159.14
юр. лицо,получение средств,1863.33,наличный,Могилев,Белинвестбанк-OMUV-368,02-09-2002,16:25:49,успешно,нет,0.0
юр. лицо,списание средств,4266.34,наличный,Минск,БелАгропромбанк-ETCM-421,21-10-2014,03:43:00,недостаточно средств,нет,0.0
физ. лицо,списание средств,2176.75,безналичный,Гомель,МаксБанк-PBRS-203,09-12-2008,11:53:18,недостаточно средств,нет,0.0
юр. лицо,получение средств,2447.55,наличный,Гродно,БелАгропромбанк-DQNV-017,01-07-2005,23:13:04,успешно,нет,0.0
юр. лицо,получение средств,4754.25,безналичный,Гродно,Беларусбанк-IDOU-880,15-11-2005,23:05:18,успешно,нет,0.0
физ. лицо,получение средств,4792.34,безналичный,Могилев,БелАгропромбанк-VZEU-455,24-10-2019,09:59:17,успешно,нет,0.0
физ. лицо,списание средств,2857.44,наличный,Гродно,МаксБанк-EKXB-441,19-10-2011,22:00:57,неправильный ввод пин-кода,да,167.82
юр. лицо,списание средств,2029.54,наличный,Брест,Приорбанк-ORVT-062,04-12-2008,15:54:34,недостаточно средств,да,89.19
юр. лицо,получение средств,616.0,наличный,Витебск,Белинвестбанк-WVYI-100,02-08-2013,01:45:06,успешно,нет,0.0
юр. лицо,списание средств,3460.62,наличный,Минск,БелАгропромбанк-LXCU-561,19-04-2022,03:13:58,недостаточно средств,нет,0.0
юр. лицо,получение средств,1372.02,безналичный,Гомель,Белинвестбанк-VJQC-228,19-09-2004,16:53:44,успешно,нет,0.0
юр. лицо,списание средств,1041.76,наличный,Минск,Приорбанк-VUAJ-053,04-10-2009,00:00:27,неправильный ввод пин-кода,да,20.77
физ. лицо,получение средств,2308.16,наличный,Могилев,Приорбанк-DWHP-730,27-09-2010,16:21:36,успешно,нет,0.0
физ. лицо,получение средств,1449.57,безналичный,Витебск,Белинвестбанк-VNVU-591,22-02-2011,12:36:44,успешно,нет,0.0
физ. лицо,списание средств,4371.98,безналичный,Витебск,МаксБанк-EVVC-222,20-02-2005,17:28:17,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2935.61,безналичный,Брест,БелАгропромбанк-UFFR-376,28-09-2010,10:08:11,успешно,нет,0.0
юр. лицо,получение средств,1507.91,безналичный,Минск,БелАгропромбанк-OAKX-876,25-09-2002,19:58:17,успешно,нет,0.0
физ. лицо,получение средств,4757.1,наличный,Гродно,МаксБанк-UDKJ-918,02-07-2022,00:14:20,успешно,нет,0.0
физ. лицо,получение средств,2480.33,наличный,Брест,Беларусбанк-MTTB-097,12-02-2011,04:39:22,успешно,нет,0.0
физ. лицо,получение средств,4608.24,безналичный,Гомель,Белинвестбанк-JPJY-183,22-11-2023,06:12:03,успешно,нет,0.0
юр. лицо,списание средств,963.88,наличный,Брест,МаксБанк-ALZS-755,29-12-2008,19:28:18,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,546.26,безналичный,Брест,МаксБанк-SNXC-303,03-04-2008,01:59:09,успешно,нет,0.0
юр. лицо,получение средств,1554.08,безналичный,Витебск,МаксБанк-XGBE-867,23-06-2024,23:38:11,успешно,нет,0.0
юр. лицо,списание средств,1098.21,наличный,Могилев,Беларусбанк-TRGE-546,12-07-2018,15:01:44,неправильный ввод пин-кода,да,104.45
физ. лицо,получение средств,3070.1,наличный,Брест,Белинвестбанк-WZKE-163,20-10-2024,09:31:38,успешно,нет,0.0
юр. лицо,списание средств,1379.97,наличный,Гродно,БелАгропромбанк-RAYA-859,20-05-2004,19:32:34,недостаточно средств,нет,0.0
юр. лицо,списание средств,624.49,безналичный,Гомель,МаксБанк-BLYI-293,09-11-2007,12:54:25,успешно,нет,0.0
физ. лицо,списание средств,1040.76,безналичный,Витебск,Беларусбанк-SPZC-572,20-09-2015,14:29:02,недостаточно средств,да,77.84
физ. лицо,получение средств,1067.68,безналичный,Минск,Приорбанк-UCUB-463,18-03-2013,09:51:29,успешно,нет,0.0
физ. лицо,получение средств,3547.2,наличный,Витебск,Белинвестбанк-SJXS-035,11-05-2017,07:06:24,успешно,нет,0.0
юр. лицо,получение средств,2232.46,безналичный,Витебск,Белинвестбанк-CJVS-254,09-11-2017,20:29:59,успешно,нет,0.0
юр. лицо,получение средств,1331.13,безналичный,Витебск,БелАгропромбанк-FHWB-742,08-08-2003,18:30:25,успешно,нет,0.0
физ. лицо,списание средств,1204.38,безналичный,Гродно,БелАгропромбанк-CPZD-033,09-09-2024,04:42:43,недостаточно средств,да,104.79
юр. лицо,списание средств,2838.76,наличный,Минск,МаксБанк-IYHV-816,25-10-2021,17:49:45,недостаточно средств,нет,0.0
физ. лицо,списание средств,3664.01,наличный,Витебск,Приорбанк-VEYO-040,28-12-2012,21:01:59,недостаточно средств,нет,0.0
физ. лицо,списание средств,2526.85,наличный,Минск,Беларусбанк-GHEG-896,30-06-2008,09:55:03,недостаточно средств,да,35.23
